ID externe,ID,Référence interne,Nom,Quantité en stock,Catégorie de produits/Nom,Fournisseurs,Prix d'achat,Prix de vente
__export__.product_template_25766_d11a7c05,25766,,NAIL FILE LARGE,0.00,All,,0.00,6.50
__export__.product_template_21563_b1423db1,21563,ENT0172,NAIL FILES LIMES A ONGLES,0.00,Non Food / Hygiene,CARREFOUR,4.50,7.50
__export__.product_template_26311_3d959ae7,26311,ENT0786,NAIL POLISH REMOVER DISSOLVANT ONGLES,0.00,Non Food / Hygiene,CARREFOUR,0.00,6.70
__export__.product_template_25765_1e8c6f81,25765,,NAIL SCISSORS,0.00,All,,0.00,13.50
__export__.product_template_28656_9821b447,28656,,NAIRN'S OATCAKE GLUTEN FREE,0.00,All,BRITSH  SMITHS,5.30,10.60
__export__.product_template_22750_25f9a1b2,22750,SWT0139,NAKD PROTEIN BARS MIX FLAVOUR NAKD PROTEIN BARS MIX FLAVOUR,0.00,Dry Goods,CARREFOUR,3.99,5.91
__export__.product_template_27912_fe2844d3,27912,,NANAMI TOGORASHI,0.00,All,,0.00,0.00
__export__.product_template_22016_edf80540,22016,TEX0151,NANDO'S PERI PERI HOT - 125ML NANDO'S PERI PERI HOT - 125ML,0.00,International Foods,SAUCE PIQUANTE,3.89,4.45
__export__.product_template_19735_877d122f,19735,TEX0152,NANDO'S PERI PERI MEDIUM - 125ML NANDO'S PERI PERI MEDIUM - 125ML,29.00,International Foods,SAUCE PIQUANTE,5.97,7.80
__export__.product_template_27176_7c81dbd2,27176,SAPROD006,NANDO'S SAUCE GARLIC 125ML ,30.00,International Foods,,0.00,4.45
__export__.product_template_27177_f75cefa6,27177,SAPROD007,NANDO'S SAUCE HOT 125ML,25.00,International Foods,,0.00,4.22
__export__.product_template_27178_02c61b31,27178,SAPROD008,NANDO'S SAUCE LEMON HERB 125ML,24.00,International Foods,,0.00,4.45
__export__.product_template_24981_2cb66bab,24981,SAPROD009,NANDO'S SAUCE MEDIUM 125ML ,0.00,International Foods,SOUTH AFRICA,0.00,4.22
__export__.product_template_27992_4a88fbb8,27992,,NAPKINS 20X20CM - 100PCS SERVIETTE TABLE 20X20CM - 100PCS,0.00,Non Food / Hygiene,METRO,1.28,15.46
__export__.product_template_28004_ee3c4e64,28004,,NAPKINS TABLE 25X24 - 50PCS SERVIETTE 25X24 - 50PCS,0.00,All,,0.00,2.19
__export__.product_template_27991_7d3df588,27991,,NAPKINS TABLE 50PCS 38X38CM SERVIETTES TABLE 50PCS 38X38CM,0.00,Non Food / Hygiene,METRO,2.07,4.89
__export__.product_template_25853_de6ff039,25853,,NAPLES DELIVERY ,0.00,All,,0.00,"1,250.00"
__export__.product_template_26109_24e38375,26109,,NAPOLITAINS,0.00,All,,0.00,24.98
__export__.product_template_20333_67cf0e45,20333,PASTRY006,NAPPAGE MIRROR PLAIN - 1.5KG NAPPAGE MIROIR NEUTRE - 1KG,0.00,Bakery Goods,METRO,14.50,24.83
__export__.product_template_28415_7cd598d4,28415,,NARN GLUTEN FREE PORRIDGE - 450 G,0.00,All,BRITSH  SMITHS,6.40,14.08
__export__.product_template_20736_1cd4fdcd,20736,CHCLT109,NATURAL ABSOLUT CRISTAL - 5KG ABSOLUT CRISTAL NEUTRE - 5KG,4.00,Dry Goods,METRO,35.00,75.40
__export__.product_template_23766_c79b499b,23766,,NATURAL HOG CASING -BOYAU NATUREL DE PORC EN TUBE,0.00,Meat,BOUCHERIE AGRICOLE,22.00,32.84
__export__.product_template_23813_962eace4,23813,COLDMEAT54,NATURAL JULIENNE BACON 180GR -LARDONS ALLUMETTES NATURE 180GR,0.00,Meat,METRO,1.05,1.90
__export__.product_template_23241_a310ffd8,23241,ORGANIC058,NATURAL SUGAR COLUMBIA - 500GR PANELA SUCRE NATUREL COLOMBIE - 500GR,0.00,Dry Goods,LATINO MARKET,3.47,5.40
__export__.product_template_23242_cef84488,23242,ORGANIC059,NATURAL SUGAR COSTA RICA - 500GR SUCRE NATUREL COSTA RICA - 500GR,0.00,Dry Goods,LA VIE CLAIRE,3.42,5.17
__export__.product_template_20073_21ab5f4e,20073,TAHITI006,NATURAL VANILLA EXTRACT TAHITI 50ML EXTRAIT GOURMAND VANILLE TAHITI50ML,26.00,Dry Goods,TAHITI VANILLE,7.60,15.17
__export__.product_template_23521_4cacdcd3,23521,DAI0098,NATURAL YOGHURT FAISSELE - 1KG YAOURT NATURE FAISSELE - 1KG,0.00,Eggs & Dairy,METRO,0.00,0.00
__export__.product_template_28546_aabe6364,28546,,NATURE OF NUTS FORCE / OMEGA / PROTEIN / MIX - 175 G - MELANGE fORCE CACAHUETES FRUITS A COQUE CARREFOUR ORIGINAL,0.00,All,CARREFOUR,2.69,5.38
__export__.product_template_28325_ff33641a,28325,,NATURE VALLEY CEREAL BAR OAT & CHOCOLATE - 40 G,0.00,All,CARREFOURE,1.00,1.90
__export__.product_template_28324_0a59cd80,28324,,NATURE VALLEY CEREAL BAR OAT & HONEY - 40 G,0.00,All,CARREFOUR,1.00,6.06
__export__.product_template_23816_d652a759,23816,COLDMEAT60,NDJUA DI SPILINGA 400G -NDJUA DI SPILINGA 400G,0.00,Meat,LA CAMBUSE,18.70,31.94
__export__.product_template_23663_53516eff,23663,KOSHER12,NECK OF LAMB KOSHER - KG COLLIER D'AGNEAU - KG,0.00,Special Diet,LILI KASH,24.90,37.77
__export__.product_template_26957_21a4918d,26957,ALAINJUS100,NECTAR PASSION FRUIT ALAIN MILLIAT - 1L NECTAR FRUIT DE LA PASSION ALAIN MILLIAT - 1L,0.00,Drinks,ALAIN MILLIAT,0.00,10.95
__export__.product_template_25796_56815fc3,25796,,NECTARIAN / NECTARINES - KG,0.00,All,,0.00,14.00
__export__.product_template_21700_35871085,21700,FRT052,NECTARINE WHITE IMPORT - KG NECTARINE BLANCHE IMPORT - KG,0.00,Fruit,LES HALLES TROTTEMANT,0.00,29.70
__export__.product_template_21731_eece72af,21731,FRT100,NECTARINE YELLOW - KG NECTARINE JAUNE - KG,0.00,Fruit,LES HALLES TROTTEMANT,0.00,0.00
__export__.product_template_21215_e247cd0c,21215,ASI0113,NEM COCKTAIL CHICKEN - 25GX28 NEM COCKTAIL POULET - 25GX28,0.00,Asian Products,ASIA FRERES,5.50,29.99
__export__.product_template_24485_3b2bb38e,24485,ASI0114,NEM COCKTAIL PORK - 25GX28 NEM COCKTAIL PORC - 25GX28,0.00,Asian Products,ASIA FRERES,5.50,10.43
